prod_descripcion,prod_codigo,,,,
BLENDERS PRIDE WHISKYX1LT.,7792410010009,,,,
H2O NARANCHELOx2.1/4LT,7791813423652,,,,
DOBLE V WHISKY ETIQ.NEGRA,7791560001158,,,,
PEHUAMAR PAPAS FRITASx160Gr.,7790310000977,,,,
TRIMACER ARROZ L.FINO x1KG,7794836000046,,,,
GALLO ORO ARROZx1KG.CAJA,7790070411716,,,,
GALLO ORO ARROZX500GR.,7790070411839,,,,
PEHUAMAR MANI FRITOX90GR.PIE,7790310007044,,,,
GALLO ARROZx500.DOBLE CAROLINA,7791880000053,,,,
LA ITALIANA RAVIOLESx500 RICOT,7791664000286,,,,
LUCCHETTI ARROZx500JAMASsePASA,7790070411822,,,,
MOCOVI ARROZx500gr.CAJA,7794580000026,,,,
MOCOVI ARROZx1Kg.CAJA,7794580000019,,,,
PLAX ENJ.BUCx500 COOL MINT,7891024026366,,,,
PEHUAMAR PALITOS QUESOX90GR.,7790310004340,,,,
PEHUAMAR MAICITOSX330GR.-,7790310004302,,,,
SUSARELLI ARROZ FORTUNAx1KG,7794060000034,,,,
SUSARELLI ARROZ FORTUNAx500GR,7794060000041,,,,
PLAX ENJ.BUCx250 2en1 COOL,7891024180228,,,,
BRUNING HARINA LEUDANTEx1KG,7791599000139,,,,
NESQUIK CACAOX360 CHOCOLATOSO,7613034449993,,,,
NESTUMx200gr.TRIGOyMIEL,7613033649707,,,,
AZUCARx1kg. FRONTERITA.,7790220000531,,,,
JERACO AZUCAR IMPALPABLEx200,7797109000019,,,,
JERACO AZUCAR IMPALPABLEx400,7797109000026,,,,
CHUKER X250CC.,7792850000066,,,,
CHUKER x 500cc.,7792129001114,,,,
BARNY EDULCORANTEx250,7790490001795,,,,
SUCARIL SUCRALOSAx180cc.,7792129002203,,,,
SI DIET EDULCORANTEX250,7790036020204,,,,
SI DIET EDULCORANTEx500cc.,7790036020211,,,,
SUCARIL EDULCORANTEx180cc,7792129000346,,,,
SUCARIL EDULCORANTEx360cc.,7792129000339,,,,
EXQUISITA BIZCOCx540.CHOCOLATE,7790070410146,,,,
EXQUISITA BIZCOCHx540.COCO,7790070412386,,,,
GODET BIZCOCHUELOX480 CHOCOLAT,7790580626600,,,,
GODET BIZCOCHUELOx480 NARANJA.,7790580626709,,,,
GODET BIZCOCHUELOX480 VAINILLA,7790580626419,,,,
KEKSY HELADOx100GR DULCE LECHE,7790171000352,,,,
AGUILA BA├æO REPOSTX150.SEMI AMARGO.,7790407031556,,,,
AGUILA BA├æO REPOSTX150.BLANCO,7790407031471,,,,
ARCOA CACAOX180GR.,7790580402808,,,,
OKEBON GALL.LECHE CHOCOL.x290,7790263110860,,,,
AGUILA CHOCOLATEX100GR.,7790407031013,,,,
AGUILA CHOCOLATEX150GR.,7790407031273,,,,
BABYLOOK OLEO CALCAREOx500.,7790940801104,,,,
PEHUAMAR PAPASx50gr.PROVOLETA,7790310003343,,,,
COTAR QUESO CREMOSOxKG,667,,,,
ZORRO ULTRA LAVAVA.x300 PEPINO,7790990494189,,,,
ARLISTAN CAFEx100gr.,7790070936493,,,,
ARLISTAN CAPPUCCINOx125GR,7790070933164,,,,
UNION YERBAx500c/HIRBAS SERRAN,7790387014419,,,,
UNION YERBAx500c/HIRBAS LITORA,7790387014433,,,,
LA SER.DANETTEx2x95 AMERICA530,7791337530904,,,,
TWISTOS MINI TOSTX112.CAPRESE,7790310003046,,,,
LA VIRGINIA CAFEX1KG.,7790150006177,,,,
LA VIRGINIA CAFEX100.INSTANT.,7790150100752,,,,
LA VIRGINIA CAFEX170.INSTANT.,7790150100356,,,,
ALICANTE BOLSAySABOR.CARNE,7790150497555,,,,
LA VIRGINIA CAFEx500gr.MOLIDO,7790150006153,,,,
LA VIRGINIA TE FRUT.TROPICAx20,7790150696842,,,,
SAN BERNARDINO VINAG.ALC.x500,7790939000020,,,,
TAHITI CHIMICHURRIx270GR,7798116163018,,,,
EL POCILLO MALTA CON LECHEx100,7791118000794,,,,
EL POCILLO MALTAx170gr.,7791118000503,,,,
NEOMALT MALTA INSTANx150BOLSA,7790150092217,,,,
MYK AZUCAR x KG.,7796613008566,,,,
NEOMALT MALTAx170gr.INSTANTANE,7790150092491,,,,
ZUCOA MAX x180GR,7798153810418,,,,
LA VIRGINIA TE BOLDOX25SAQ,7790150310137,,,,
ALICANTE BOLSAySABOR.POLLO HIE,7790150497500,,,,
MANTY MARGARINA LIGHTx200 PAN,7790070032188,,,,
LA VIRGINIA TE C/LIMONX20SAQ.,7790150240274,,,,
LA VIRGINIA TE MANZANILLAX25,7790150330135,,,,
LA VIRGINIA TE MENTA PEPERIx25,7790150340134,,,,
LA VIRGINIA TE TILOX25SAQ.,7790150320204,,,,
LA VIRGINIA TEx100saq.,7790150211755,,,,
COLBERT SPACE EDTx60CC,7791600742256,,,,
LA VIRGINIA TEx50saq.,7790150211700,,,,
TARAGUI TE x 25saq.S/ENSOB.,7790387010305,,,,
KNORR CALDOX2 VERDURA,7794000597662,,,,
PREFERIDO REBOZADORx500 Grs,7790070411549,,,,
KNORR SOPA CREMA.SOBRE.CHOCLO,7794000598379,,,,
MAGISTRAL EVOLUTx300 POWER CLE,7506309875316,,,,
MANYABENE F.MORRON x400GR,7791234018895,,,,
CLEF QUESO PROVOLONxKG,448,,,,
JOHNSON'S COLONIAx100 DUL.SUEN,7790010684200,,,,
FRIGOR NOVELTY SELECCx524.CHyD,,,,,
JOHNSON'S CHAMPUx200.ANTI FRIZ,7790010570589,,,,
JOHNSON'S SOFTLOTIONx200 LAVAN,7891010895327,,,,
SIEMPRE LIBRE NOCTX8C/A.U.FINA,7891010601539,,,,
LARIO FIAMBRE COCIDO CERDOxKG,543,,,,
"PRITTY LIMONX2,250LT.DESCART",7791913000746,,,,
ZORRO MATICx400.PERLAS SUAVIZA,7790990992487,,,,
PATY HAMB.PANCETA/VERDEO/MEDIT,,,,,
LA CAMPAGNOLA JALEA MEMB.x454,7793360810701,,,,
MATARAZZO FIDEOS SPAGUETTI.,7790070318640,,,,
9 DE ORO BIZCOCHOS AZUCARADOS,7792200000319,,,,
MATARAZZO FIDEOS NIDO FETTUCIN,7790070318671,,,,
GREEN HILLS TEx25SAQ.,7790480008254,,,,
BIMBO PAN FIT SALx400.CHICO,7796989007743,,,,
LA VIRGINIA CAFE INSTx100SUAVE,7790150102039,,,,
TERRABUSI ANILLOS CLASICOSx160,7622300398569,,,,
TERRABUSI D.F.TALLC/ESPINACA,77991775,,,,
TERRABUSI D.F.LARGOALHUEVO,77905321,,,,
TERRABUSI D.F. MOST.RAYADO MED,7794600009251,,,,
TERRABUSI FID.TALLARIN,7622300724368,,,,
TERRABUSI FID.SOPEROS MUNICION,7794600007554,,,,
TERRABUSI D.F. HELICEc/HUEVO,7794600000333,,,,
CIEL DESODx186cc.,7791600030452,,,,
CIEL NUIT EDTx50cc.VAPORIZADOR,7791600064129,,,,
PANTENE CHAMPUx400.CONT.CAIDA,7506339347647,,,,
ARCOR GALLET.CHOCO-CHIPSx135gr,7790040756809,,,,
LARIO BONDIOLAxKG,929,,,,
EL REY BIZC.CLASICOX180GR,7798163770191,,,,
LARIO JAMON CRUDOXKG,921,,,,
QUILMES CERVEZAENLATAX350,7792798011018,,,,
PALERMO PORRON,7792798021314,,,,
QUILMES CRISTAL PORRONX1LT.,7792798007387,,,,
SOFT COLOR 54,7896016104992,,,,
COTAR CREMA DE LECHEx200cc,7790084003198,,,,
LA MOROCHA FIDEOSx500GR FRESCO,7794080000366,,,,
LA MOROCHA NOQUISx500gr.,7794080000472,,,,
CINDOR CHOCX250UAT.CART.   198,7793940198007,,,,
SANCOR POST VAIN.CRISPYX118,7790080040258,,,,
NIDO CRECIMIENTOx800 RENOVADA,7613034612687,,,,
NIDO LECHEx400 FORTIGROW BOLSA,7613035494787,,,,
LA SEREN.LECHEenP.DESLx500 064,7793940064005,,,,
INTY MANTECAx200Gr.,7791435000026,,,,
LA PAULINA MANTECAx200Gr.,7790398100088,,,,
LA SEREN.MANTECAx100gr.    052,7793940052002,,,,
PLAX ENJ.BUCALx500 MENTA FRESH,7793100141218,,,,
LA SEREN.MANTECAx500gr.   1270,7793940270000,,,,
MARGADAN MARGARINAx200gr.PAN,7791620000312,,,,
MARGADAN UNTABLE PANx500gr.,7791620000367,,,,
LA MOROCHA RAVIOLES RIC/QUESO,7794080000441,,,,
LA MOROCHA RAVIOLES J.RIC/MUZZ,7794080001271,,,,
MANTY MARGARINA LIGHTx200 POTE,7791620001098,,,,
MANTY MARGARINAx200gr.POTE,7791620001104,,,,
MARECHIARE ATUN ENT.ACEITEx170,7798003220183,,,,
DULCE BATATAC/CHOCOLATEXKGCAJO,1307,,,,
DULCE DE BATATAc/CHOC.LATAxKG,1309,,,,
DULCE DE MEMBRILLO LATAxKG.,87,,,,
DULCE de BATATA LISOxKG LATA,1308,,,,
COTAR DULCE DE LECHEx250gr.,7790084029662,,,,
COTAR DULCE DE LECHEx400Gr.,7790084029679,,,,
LA PAULINA DULCE DE LECHEx1KG,7790398100026,,,,
TREGAR DULCE DE LECHEx1KG,7793913000054,,,,
CEPITA ACUARIUSX1 1/2LT.POMELO,7790895640490,,,,
SANTA ANA VINOx750 ROSADO,7790762052364,,,,
DULCE DE MEMBRILLOXKG.CAJON,1362,,,,
MANTECOL x KG.,3417,,,,
KNORR FIDEOS SPAGHETTINIx500,7798031154429,,,,
H2O X1.5 NARANCHELO,7791813421511,,,,
CANALE MERMELADA FRUTILLAx454,7798100665801,,,,
CANALE MERMELADA CIRUELAx454,7798100665207,,,,
ARCOR MERMELADAx454 FRUTILLA,7790580509606,,,,
CANALE MERM.LIGHTx390.FRUTILLA,7798100665832,,,,
ELITE P.HIG.ULTRA D.H 30M.x4,7790250024002,,,,
ARCOR MERMELADAx454 DURAZNO,7790580509507,,,,
CANALE MERM.LIGHTx390.DURAZNO,7798100665054,,,,
